mcq_label,question_text,ques_type,ques_for_assessment_type,choiceA,choiceB,choiceC,choiceD,choiceE,correctChoice,puzzle_answer,difficultyLevel
"Implementation from Scratch - 23rd January, 2020",store.getState() returns the components state at the time it was called.,Multiple Choice Question,"1, 2, 3, 4",TRUE,FALSE,,,,B,-,LEVEL 1
"Introduction to Express JS - 23rd January, 2020",To make a new route to update in the database we use  _____ .,Multiple Choice Question,"1, 2, 3, 4",router.get(),router.put(),router.append(),router.post(),,D,-,LEVEL 1
Javascript,"What will be the output of the following JavaScript code?<br>function emp(name,salary){  <br>  this.name=name;  <br>  this.salary=salary;  <br> <br>  this.changeSalary=changeSalary;  <br>  function changeSalary(otherSalary)<br>  {  <br>  this.salary=otherSalary;  <br>  }  <br>}  <br>e=new emp(""FTL"",30000);  <br>e.changeSalary(45000);  <br>document.write(""e.name+"" ""+e.salary);",Multiple Choice Question,"1, 2, 3, 4",FTL 30000,FTL 45000,FTL,45000,,B,,LEVEL 2
HTML,Tags and text that are not directly displayed on the page are written in _____ section.,Multiple Choice Question,"1, 2, 3, 4",&lt;html&gt;,&lt;head&gt;,&lt;title&gt;,&lt;body&gt;,-,B,,LEVEL 1
Greedy,What is the time complexity in simple uniform hashing?,Multiple Choice Question,"1, 2, 3, 4",O(nlogn),O(logn),O(1),O(n^2),,C,-,LEVEL 1
Javascript,How many reserved words are there in JavaScript?,Multiple Choice Question,"1, 2, 3, 4",63,54,68,90,,A,,LEVEL 2
HTML,Can a data cell contain images?,Multiple Choice Question,"1, 2, 3, 4",Yes,No,,,-,C,,LEVEL 2
HTML,Who is the primary author of HTML?,Multiple Choice Question,"1, 2, 3, 4",Brendan Eich,Tim Berners-Lee,Web Programmer,Google Inc.,-,D,-,LEVEL 1
HTML,Which of the following is / are the state of the links in CSS?,Multiple Choice Question,"1, 2, 3, 4",a:link,a:visited,a:hover,All of the above.,-,D,-,LEVEL 2
LR - Letter and Symbol,"<p>P5 QR, P4 QS, P3 QT, _____, P1 QV</p>",Multiple Choice Question,"1, 2, 3, 4",PQW,PQV2,P2QU,PQ3U,,C,-,LEVEL 3
ANSR Section A - Aptitude Slot 2,"NGH, QFJ, TEL, __, ZCP",Multiple Choice Question,"1, 2, 3, 4",WDN,WBO,YBO,YDN,,A,-,LEVEL 1
CSS,Which of the following defines a measurement in inches?,Multiple Choice Question,"1, 2, 3, 4",in,mm,pc,pt,-,C,,LEVEL 2
CSS,What is the default value of display property for &lt;span&gt; HTML element?,Multiple Choice Question,"1, 2, 3, 4",block,inline-block,none,inline,initial,D,,LEVEL 1
React Basics,<br>Which props from the props object is available to the component with the following syntax?<br><br>&lt;Message {...props} /&gt;<br>,Multiple Choice Question,"1, 2, 3, 4",any that have changed,any that have not changed,child props,all of them,,D,-,LEVEL 1
CSS,____________ property associates a background image with an element.,Multiple Choice Question,"1, 2, 3, 4",float,image,background-image,All of above,None of these,C,,LEVEL 3
Node,Which of the following is true about readable stream?,Multiple Choice Question,"1, 2, 3, 4",Readable stream is used for read operation,Output of readable stream can be input to a writable stream,Both of the above,None of the above,,C,-,LEVEL 1
HTML,Which is true to change the text color to red?,Multiple Choice Question,"1, 2, 3, 4",&lt;BODY BGCOLOR=RED&gt;,&lt;BODY TEXT=RED&gt;,&lt;BODY COLOR=RED&gt;,none of the above,-,B,-,LEVEL 1
React useEffect,"In the code below, how many times will the console function be executed? <br /> <br />export default function App() { <br /> <br /> const [flag, setFlag] = useState(0); <br /> <br /> useEffect(() =&gt; { <br /> <br /> setFlag(2); <br /> <br /> }, []); <br /> <br /> console.log(""rendering 111""); <br /> <br /> return ( <br /> <br /> &lt;div className=""App""&gt; <br /> <br /> &lt;h1&gt; <br /> <br /> Flag Value is {flag} <br /> <br /> &lt;/h1&gt; <br /> <br /> &lt;/div&gt; <br /> <br /> ); <br /> <br />}",Multiple Choice Question,"1, 2, 3, 4",1,2,3,4,,A,-,LEVEL 2
Javascript,When will the window property come into play ?,Multiple Choice Question,"1, 2, 3, 4",Refer to window object itself,Use objects in the Window object,Use as an extension of other objects,Representation convenience,,A,,LEVEL 2
Aptitude - Number Series Pattern Recognition,"2, 2, 4, 12, 48, __",Multiple Choice Question,"1, 2, 3, 4",96,250,240,230,,C,-,LEVEL 2
Total js,What does the “break” statement do?,Multiple Choice Question,"1, 2, 3, 4",Cancels the current event.,Aborts the current function.,Aborts the current loop or switch statement.,Simulates a JavaScript crash.,,C,-,LEVEL 1
Javascript,Comment Statement is _____ type of statement.,Multiple Choice Question,"1, 2, 3, 4",Non Important,Non Executable,Executive,Non Usable,,B,,LEVEL 2
React,What React Component lifecycle method is used to capture errors inside components subtree?,Multiple Choice Question,"1, 2, 3, 4",componentWillFail(),componentDidCatch(),componentOnError(),componentDidCrash(),-,B,,LEVEL 3
Building your first app,"Output of this program would be
	const express = require('express')
const app = express()
const port = 3000

app.get('/', (req, res) => res.send(‘<H1>Hello World!</H1>’))

app.listen(port, () => console.log(`Example app listening on port ${port}!`))",Multiple Choice Question,"1, 2, 3, 4",‘Hello World’ gets printed on the terminal,‘<H1>Hello World!</H1>’ gets printed on the terminal,‘Hello World’ gets displayed on local host 3000,‘<H1>Hello World!</H1>’ gets displayed on local host 3000,,C,-,LEVEL 1
CSS,"Which of the following property defines the style, width, and color of the rule divider between<br>columns in a multicolumn text flow?",Multiple Choice Question,"1, 2, 3, 4",column-check,column-change,column-rule,column,None of these,C,,LEVEL 3
ES6,What shows in the console?<br>let x=1;<br>let x=10;<br>console.log(x);,Multiple Choice Question,"1, 2, 3, 4",1,10,throw an error,-,-,C,,LEVEL 1
JS Arrays,"Which one of the following given task is performed by the ""pop()"" method of the array?",Multiple Choice Question,"1, 2, 3, 4",It updates the element of the array,it increments the total length of the array by 1,It prints the first element and made no impact on the length of the array,"updates the element, removes one element of an array on each time the ""pop()"" function called",,D,-,LEVEL 1
CSS,The default value of pitch range property used in CSS2 is ………………….,Multiple Choice Question,"1, 2, 3, 4",0,25,50,100,-,C,-,LEVEL 2
CSS,What is the height of &lt;div&gt; HTML element?<br>&lt;html&gt;<br>&lt;head&gt;<br>&lt;style&gt;<br>div {<br>box-sizing: border-box;<br>background: red;<br>height: 160px;<br>max-height: 80px;<br>}<br>&lt;/style&gt;<br>&lt;/head&gt;<br>&lt;body&gt;<br>&lt;div&gt;text&lt;/div&gt;<br>&lt;/body&gt;<br>&lt;/html&gt;,Multiple Choice Question,"1, 2, 3, 4",100% of the browser viewport,160px,80px,-,-,C,,LEVEL 2
CSS,What is the color of<br>&lt;span&gt; HTML<br>element?<br>&lt;html&gt;<br>&lt;head&gt;<br>&lt;style&gt;<br>span {<br>color: red;<br>}<br>body &gt; span {<br>color: blue;<br>}<br>&lt;/style&gt;<br>&lt;/head&gt;<br>&lt;body&gt;<br>&lt;div&gt;<br>&lt;span&gt;text&lt;/span&gt;<br>&lt;/div&gt;<br>&lt;/body&gt;<br>&lt;/html&gt;,Multiple Choice Question,"1, 2, 3, 4",blue,black,red,-,-,C,,LEVEL 1
Feb quiz 9th may,What is the output of the following program?,Multiple Choice Question,"1, 2, 3, 4",70,80,undefined,reference Error,null,B,-,LEVEL 1
May compe,"GCD or HCF of two numbers is the largest number that divides both of them. A simple way to find GCD is to factorize both numbers and multiply common factors. Now for calculating it faster we can use tha facts:-
1. If we subtract smaller numbers from larger (we reduce larger number), GCD doesn’t change. So if we keep subtracting repeatedly the larger of two, we end up with GCD.
2. Now instead of subtraction, if we divide a smaller number, the algorithm stops when we find remainder 0.
By using these facts it will become easy to find the GCD of two numbers. 
Extending the approach can also be used to find the solutions of the equation for x and y:-
a⋅x+b⋅y=gcd of (a,b)


What will be the minimum number of steps required to measure 42L using buckets of capacity 12L and 78L.",Multiple Choice Question,"1, 2, 3, 4",6,7,8,9,,A,-,LEVEL 1
CSS,Which of the following property sets the shadow for a box element?,Multiple Choice Question,"1, 2, 3, 4",shadow,set-shadow,canvas-shadow,box-shadow,-,B,,LEVEL 3
CSS,An internal style sheet should be used when a single document has a,Multiple Choice Question,"1, 2, 3, 4",unique style,common style,either (A) or (B),None of the above,-,A,,LEVEL 2
Javascript,". Consider the following statements<br>switch(expression)<br>{<br> statements<br>}<br>In the above switch syntax, the expression is compared with the case labels using which of the following operator(s) ?",Multiple Choice Question,"1, 2, 3, 4",#ERROR!,equals,equal,#ERROR!,,D,,LEVEL 2
Javascript,What is the property textContent ?,Multiple Choice Question,"1, 2, 3, 4",Returns the textual content of a node,Sets the textual content of a node,All of the Above,None of the Above,,C,,LEVEL 2
Python - Dictionary,Which of the following statements create a dictionary?,Multiple Choice Question,"1, 2, 3, 4",d = {},"d = {“john”:40, “peter”:45}","d = {40:”john”, 45:”peter”}",All of the mentioned,,D,-,LEVEL 1
React,"import React from 'react';<br>import {render} from 'react-dom';<br>const node = document.querySelector('body'<br>const element = &lt;div&gt;Hello World!&lt;/div&gt;;<br>render(element, node);<br>Why is it not recommended to render React elements into the body node?",Multiple Choice Question,"1, 2, 3, 4",componentDidMount lifecycle method will not work.,React does not have full control over body element.,children of the elements will not be rendered,it will not call the native web API,-,B,,LEVEL 2
Node,"The given program should generate the following output:
{value1: 2222, value2: [x: 'hello Worldl', y: 8888 ]] However, the program contains errors. Identify which of the given lines of code contain errors.
Program
1. var firstvar =[
2. value1: 2222,
3. value2: {  
4. xz'hello World!'
5. y: 8888
6 - ];
7 . };
8. console.log(firstvar);",Multiple Choice Question,"1, 2, 3, 4",III Line1,III Line 2,El Line 4,El Line 5,,D,-,LEVEL 2
Python - Error Handling,"What is the output of the following program?
<code>
value = [1, 2, 3, 4]
data = 0
try:
    data = value[4]
except IndexError:
    print('John', end = '')
except:
    print('Sophia ', end = '')
</code>",Multiple Choice Question,"1, 2, 3, 4",Sophia,John,John Sophia,Compilation error,,B,-,LEVEL 1
HTML,Which of the following is not a web server?,Multiple Choice Question,"1, 2, 3, 4",Apache tomcat,BlueGriffon,Jetty,Tornado,-,B,-,LEVEL 2
August Entrance Section - A,"Fact 1: Rahul has 8 siblings.
Fact 2: Rahul has 3 elder brothers.
Fact 3: Rahul has 3 younger sisters.

If the first three statements are facts, which of the following statements must also be a fact?
I:  Rahul has four brothers.
II: Five of the siblings are younger than Rahul.
III: Rahul has four brothers and four sisters.",Multiple Choice Question,"1, 2, 3, 4",I only,II only,II and III only,None of the statements is a known fact,,D,-,LEVEL 1
Js-7jul,The method that performs the search-and-replace operation to strings for pattern matching is _______,Multiple Choice Question,"1, 2, 3, 4",searchandreplace(),add(),edit(),replace(),,D,-,LEVEL 3
January Entrance Section C - Slot 2,"Doraemon, Nobita, and Shizuka were playing a game in which Suneo gave each of the 2 envelopes and each envelope contained some number of cards. 2 contains 25 cards, 2 contains 15 cards and the rest 2 contains 10 cards. After handing the envelopes Suneo said one statement to each player:-

-> To Doraemon:- Both Doraemon and Nobita have an envelope of 10 cards.
-> To Nobita:- Both Nobita and Shizuka have an envelope of 15 cards.
-> To Shizuka:- Both Doraemon and Shizuka have an envelope of 25 cards.

After that, he states that only one of the following statements he gave is correct and the one who receives it contains the maximum number of cards.

Q 1) Whose statement was correct?",Multiple Choice Question,"1, 2, 3, 4",Doraemon,Nobita,Shizuka,Data insufficient,,B,-,LEVEL 1
LR - Letter and Symbol,"<p>FLP, INS, LPV, ?</p>",Multiple Choice Question,"1, 2, 3, 4",ORY,UXZ,VXY,SVW,,A,-,LEVEL 2
Node,Why is Node.js important?,Multiple Choice Question,"1, 2, 3, 4",Chrome comes bundled with Node.js and everyong needs Chrome,Javascript is powerless without the aid of Node.js,It allows asynchronous processing in the background without interupting the user,"Browsers are weak, adding Node.js to your browser beefs it up",,C,-,LEVEL 1
Javascript,"Which of the options result(s) in an error?<br>const emojis = ['🎄', '🎅🏼', '🎁', '⭐'];<br><br>/* 1 */ emojis.push('🦌');<br>/* 2 */ emojis.splice(0, 2);<br>/* 3 */ emojis = [...emojis, '🥂'];<br>/* 4 */ emojis.length = 0;",Multiple Choice Question,"1, 2, 3, 4",1,1 and 2,3 and 4,3,,D,,LEVEL 2
"Javascript 2 ""this"" keyword","Which of the following is the correct function call to get the desired output.

function foo(){
	console.log(`${this.a} ${this.b}`)
}

var obj = {
a:2,
b:3,
foo,
}

var a=""Hello"";
var b=""World"";



____________ //make a function call here

Desired Output: Hello World",Multiple Choice Question,"1, 2, 3, 4",obj.foo(),obj.foo.bind(window),obj.foo.call(window),None of the above,,C,-,LEVEL 1
LR - Number Series,"<p>11, 13, 17, 19, 23, 29, ?</p>",Multiple Choice Question,"1, 2, 3, 4",34,33,32,31,,D,-,LEVEL 1
Javascript,What are the features of an interpreter?,Multiple Choice Question,"1, 2, 3, 4",Shared with other properties,Embedded in other tools,Shared with other properties & Embedded in other tools,None of the mentioned,,C,,LEVEL 2
JS-ass-1JUL,"The ""new Point(3,2)"", is a kind of _______ expression",Multiple Choice Question,"1, 2, 3, 4",Object Creation Expression,Primary Expression,Invocation Expression,Constructor Calling Expression,,D,-,LEVEL 4
Javascript,"…….. allows the same event handler function to be registered more than once. When an event of the specified type occurs, the registered function will be invoked as many times as it was registered.",Multiple Choice Question,"1, 2, 3, 4",addEvent(),addMultipltEvent(),attachEvent(),reattachEvent(),,C,,LEVEL 2
HTML,Which parameter is normally used for size attribute?A,Multiple Choice Question,"1, 2, 3, 4",centimetres,inch,pixel,millimetres,-,C,-,LEVEL 1
Classes in java,Which class cannot be sub classed?,Multiple Choice Question,"1, 2, 3, 4",final class,object class,abstract class,child class,,A,-,LEVEL 1
CSS,"Which of the following CSS Gradient Functions creates a circular or elliptical gradient, and optionally sets its shape, size, and position?",Multiple Choice Question,"1, 2, 3, 4",elliptical-gradient(),radial-gradient(),circular-gradient(),All of above,None of these,A,-,LEVEL 3
React Basics,What are the limitations of React?,Multiple Choice Question,"1, 2, 3, 4","React is just a library, not a full-blown framework",Writing UI test cases using React is relatively difficult,Its library is not very large and provides very little support,All of these,,A,-,LEVEL 1
DSA Dynamic Programming,In which of the following cases is the reversal of a string not equal to the original string?,Multiple Choice Question,"1, 2, 3, 4",Palindromic strings,Strings of length 1,Empty String,Strings of length 2,,D,-,LEVEL 1
LR - Number Series,"<p>13, 32, 24, 43, 35, ?, 46, 65, 57, 76</p>",Multiple Choice Question,"1, 2, 3, 4",45,52,54,55,,C,,LEVEL 2
LR - Logical Problems,Simplify : log16 84,Multiple Choice Question,"1, 2, 3, 4",4,3,2,5,,B,-,LEVEL 2
Javascript,What is the datatype of the go() method parameter ?,Multiple Choice Question,"1, 2, 3, 4",Float,Double,Integer,String,,C,,LEVEL 2
Java,Which is valid Java expression?,Multiple Choice Question,"1, 2, 3, 4","int my_num = 100,000;",int my_num = 100000;,int my num = 1000;,int $my_num = 10000;,,B,-,LEVEL 1
Aptitude - Ratios,"In a mixture of 60 litres, milk and water are in the ratio 4 : 1. If 12 litres of water is added. What will be the ratio of milk and water in the final mixture?",Multiple Choice Question,"1, 2, 3, 4",01:02,02:03,02:01,03:02,,C,-,LEVEL 1
Aptitude - Number Series Pattern Recognition,What is the sum of positive integers less than 100 which leave a remainder 1 when divided by 3 and leave a remainder 2 when divided by 4?,Multiple Choice Question,"1, 2, 3, 4",416,620,1250,1314,,A,-,LEVEL 3
Javascript: “this” keyword,"What will the code below output to the console?

var myObject = {
    foo: ""bar"",
    func: function() {
        var self = this;
        console.log(""outer func:  this.foo = "" + this.foo);
        console.log(""outer func:  self.foo = "" + self.foo);
        (function() {
            console.log(""inner func:  this.foo = "" + this.foo);
            console.log(""inner func:  self.foo = "" + self.foo);
        }());
    }
};
myObject.func();",Multiple Choice Question,"1, 2, 3, 4","outer func:  this.foo = bar
outer func:  self.foo = undefined
inner func:  this.foo = bar
inner func:  self.foo = bar","outer func:  this.foo = undefined
outer func:  self.foo = bar
inner func:  this.foo = bar
inner func:  self.foo = bar","outer func:  this.foo = bar
outer func:  self.foo = bar
inner func:  this.foo = undefined
inner func:  self.foo = bar","outer func:  this.foo = bar
outer func:  self.foo = bar
inner func:  this.foo = bar
inner func:  self.foo = undefined",,C,-,LEVEL 1
LR - Logical Problems,"If February 1, 2008 is Wednesday, what day is March 3, 2008?",Multiple Choice Question,"1, 2, 3, 4",sun,sat,fri,mon,,B,,LEVEL 2
CSS,What is the correct CSS syntax for making all the &lt;span&gt; tag font size 16px?,Multiple Choice Question,"1, 2, 3, 4",span{size:16px;},span{font-weight:16px;},span{text-size:16px;},span{font-size:16px;},-,D,,LEVEL 2
Javascript,"What is the correct syntax for referring to an external script called "" abc.js""?",Multiple Choice Question,"1, 2, 3, 4","&lt;script href="" abc.js""&gt;","&lt;script name="" abc.js""&gt;","&lt;script src="" abc.js""&gt;",None of the above,,C,,LEVEL 2
DOM Manipulation,"What will be the output of the following JavaScript code? <br /> <br />&lt;p&gt;1&lt;/p&gt; <br />&lt;p&gt;2&lt;/p&gt; <br />&lt;p&gt;3&lt;/p&gt; <br />function myFunction() <br />{ <br /> var l = document.getElementsByTagName(""P"").length; <br /> console.log(l); <br />}",Multiple Choice Question,"1, 2, 3, 4",1,2,3,Error,,C,-,LEVEL 2
JS-ass-30JUN,"Suppose we have a text ""human"" that we want to convert into string without using the ""new"" operator. Which is the correct way from the following to do so:",Multiple Choice Question,"1, 2, 3, 4",.toString(),String(human),"String newvariable=""human""","String newvariable=""human""",,C,-,LEVEL 1
ES6,"What’s the result of:<br>function f(x, y) {<br>x = 10;<br>console.log(<br>arguments[0],<br>arguments[1]<br>);<br>}<br>f();",Multiple Choice Question,"1, 2, 3, 4","10, null","10, undefined","undefined, undefined","10, NaN",Sun Oct 10 2021 05:30:00 GMT+0530 (India Standard Time),C,,LEVEL 2
Javascript,What is the purpose of the function parameter filetype ?,Multiple Choice Question,"1, 2, 3, 4",File type previously got,File type to be expected,File type that should not be got,None of the Above,,B,,LEVEL 1
Sanskrit-lecture-8-quiz-1,"Choose most appropriate question word from the option to complete the question.
   गायकः ___गायति ?  गायकः मधुरं गायति  |  gāyakaḥ ___gāyati ?  gāyakaḥ madhuraṃ gāyati  |",Multiple Choice Question,"1, 2, 3, 4",कथम् katham,कुत्र  kutra,कति  kati,,,A,-,LEVEL 1
HTML,"In HTML document, the part which is visible is between __________ and __________ tags.",Multiple Choice Question,"1, 2, 3, 4",&lt;html&gt; and &lt;/html&gt;,&lt;head&gt; and &lt;/head&gt;,&lt;body&gt; and &lt;/body&gt;,&lt;form&gt; and &lt;/form&gt;,-,C,,LEVEL 2
JS Basics,How can you get the type of arguments passed to a function?,Multiple Choice Question,"1, 2, 3, 4",using typeof operator,using getType function,Both of the above.,None of the above.,,A,-,LEVEL 1
CSS,Which of the following property defines the offset from an element’s border and its outline?,Multiple Choice Question,"1, 2, 3, 4",outline-border,outline-offset,outline-radius,none of the mentioned,-,B,,LEVEL 3
Javascript,How to save chart as a Window metafile ?,Multiple Choice Question,"1, 2, 3, 4",metawin(),file(),metafile(),win.metafile(),,D,-,LEVEL 1
CSS,Which of the following value specifies a solid outline?,Multiple Choice Question,"1, 2, 3, 4",bold,rock,solid,dashed,-,C,,LEVEL 3
Java Basics - Data Types and Conditional Statement,If String S1 = “12” and String S2 = “34” and String S3 = S1 + S2. Then what will be the value of S3?,Multiple Choice Question,"1, 2, 3, 4",46,1234,12,34,,B,-,LEVEL 1
ANSR Section A - Maths Apt & DSA Slot 1,"If the array is already sorted, then the running time for merge sort is: ?",Multiple Choice Question,"1, 2, 3, 4",O(1),O(nlog(n)),O(n),O(log(n)),,B,-,LEVEL 2
IU MID TEST,Binary to Hex conversion of 0101001011,Multiple Choice Question,"1, 2, 3, 4",14A,14B,12A,12B,,B,,LEVEL 1
Javascript,"What's the output?<br>function getFine(speed, amount) {<br>  const formattedSpeed = new Intl.NumberFormat({<br>  'en-US',<br>  { style: 'unit', unit: 'mile-per-hour' }<br>  }).format(speed)<br><br>  const formattedAmount = new Intl.NumberFormat({<br>  'en-US',<br>  { style: 'currency', currency: 'USD' }<br>  }).format(amount)<br><br>  return `The driver drove ${formattedSpeed} and has to pay ${formattedAmount}`<br>}<br><br>console.log(getFine(130, 300)",Multiple Choice Question,"1, 2, 3, 4",The driver drove 130 and has to pay 300,The driver drove 130 mph and has to pay $300.00,The driver drove undefined and has to pay undefined,The driver drove 130.00 and has to pay 300.00,,B,,LEVEL 2
CSS,Which of the following code set the webpage correctly displayed on a device?,Multiple Choice Question,"1, 2, 3, 4","&lt;meta name=""viewports"" content=""width=device-width, initial-scale=1.0""&gt;","&lt;meta name=""viewport"" content=""width=device-width, initial-scale='parent-size'""&gt;","&lt;meta name=""viewport"" content=""width=device-width, initial-scale=1.0""&gt;","&lt;meta name=""viewport"" content=""width=device-width, initial-scale=2.0""&gt;",None of these,C,,LEVEL 3
CSS,……………………. specifies if encountered punctuation should be read as such or spoken naturally as appropriate pauses.,Multiple Choice Question,"1, 2, 3, 4",speak,speak-header,speak-numeral,speak-punctuation,-,D,-,LEVEL 2
CSS,………………. property is used to indicate whether the backside of an element is visible if the element is related to display the back.,Multiple Choice Question,"1, 2, 3, 4",visibility,backface-visibility,back-display,backface-display,-,B,,LEVEL 2
HTML,Which one of the following colors will be darkest?,Multiple Choice Question,"1, 2, 3, 4","rgb(30,30,30)","rgb(90,90,90)","rgb(120,120,120)","rgb (200,200,200)",-,A,-,LEVEL 2
HTML,Which CSS property sets a background image for an element?,Multiple Choice Question,"1, 2, 3, 4",background,background - attachment,background - color,background - image,-,D,-,LEVEL 1
CSS,Multiple font faces are separated by __________,Multiple Choice Question,"1, 2, 3, 4",Semicolon,Comma,Dot,Slash,-,B,,LEVEL 2
College_mock_round_1,"On a final voting day Santhosh strolled from a spot, 10 km towards South to arrive at the surveying station, then, at that point, turned left upto 2 km, then, at that point, took a right turn, and went for another 4 kms stroll. Again he turned right and strolled for 12 kms and went for a 14 km stroll by going to North, and there he could see the surveying station at a 12 km distance subsequent to taking a right turn. In which bearing is the surveying station arranged?",Multiple Choice Question,"1, 2, 3, 4",North,South,East,West,,C,-,LEVEL 1
HTML,Which of the following allows the sandboxed iframe to run scripts from the same domain?,Multiple Choice Question,"1, 2, 3, 4",allow-same-origin,allow-forms,allow-scripts,none of the mentioned,-,C,-,LEVEL 3
CSS,What does this code do?<br>@media only screen and (orientation_ landscape) {  body {  background-color_ lightblue,Multiple Choice Question,"1, 2, 3, 4",web page will have a lighblue background if the orientation is not in landscape mode,web page will have a red background if the orientation is in landscape mode,web page will have a lighblue background if the orientation is in landscape mode,All of above,None of these,C,,LEVEL 3
Sanskrit Lecture Quiz 17,बाल्यकाले विरामसमये बालिका प्रतिदिनं ग्रन्थालये पठन् _____ ।,Multiple Choice Question,"1, 2, 3, 4",अस्मि,स्म,आस्म,आसीत्,,D,-,LEVEL 1
HTML,Which tag is used to insert images into your web page ?,Multiple Choice Question,"1, 2, 3, 4",img,scr,im,None of the above,-,A,-,LEVEL 1
CSS,Which of the following attributes is used to specify elements to bind style rules to?,Multiple Choice Question,"1, 2, 3, 4",id,class,tag,all of the mentioned,-,D,,LEVEL 1
Database - 26/02/2020,A view is __________ .,Multiple Choice Question,"1, 2, 3, 4",A special stored procedure executed when certain event occurs,A virtual table which is the result of executing a pre-compiled query,A database diagram,None of the above,,B,-,LEVEL 1
LR - Number Series,"<p>21, 32, 54, 98, ?</p>",Multiple Choice Question,"1, 2, 3, 4",186,100,102,104,,A,-,LEVEL 1
LR - Logical Problems,"If day after tomorrow is Saturday, what day was three days before yesterday",Multiple Choice Question,"1, 2, 3, 4",sunday,monday,thursday,saturday,,A,,LEVEL 2
HTML,Block elements are normally displayed without starting a new line.,Multiple Choice Question,"1, 2, 3, 4",FALSE,TRUE,,,-,A,,LEVEL 2
Java Basics - Data Types and Conditional Statement,"What will be the output of the following program?

class Newton
{
	public static void main (String[] args) throws java.lang.Exception
	{
		int P = (int)3.1423;
		System.out.print(P);
	}
}",Multiple Choice Question,"1, 2, 3, 4",3,3.1423,3.14,Compilation error,,A,-,LEVEL 1
HTML,Choose the correct HTML tag for the largest heading.,Multiple Choice Question,"1, 2, 3, 4",&lt;h1&gt;,&lt;h2&gt;,&lt;h4&gt;,&lt;h6&gt;,-,A,,LEVEL 1
JS BOM,The setTimeout() belongs to which object?,Multiple Choice Question,"1, 2, 3, 4",Element,Window,Location,Event,,B,-,LEVEL 3
React Basics,Guess the output of the following code.<br>import React from 'react';<br>class App extends React.Component {<br>render() {<br>return (<br>&nbsp;&lt;div&gt;<br>&nbsp;&nbsp;&nbsp;&lt;h1&gt;{1+1}&lt;/h1&gt;<br>&nbsp;&lt;/div&gt;<br>);<br>}<br>}<br>export default App;,Multiple Choice Question,"1, 2, 3, 4",{1+1},1+1,Error,2,-,D,-,LEVEL 1
Sanskrit Lecture Quiz 15,उदा :- कविः आसीत् । कवयः आसन् । बालकः ______ । बालकाः _______ । *,Multiple Choice Question,"1, 2, 3, 4","अस्ति , आस्म","आसीत् , आसन्","अस्ति , सन्ति","आस्म , आसम्",,B,-,LEVEL 1
HTML,Which attribute is used to name an element uniquely?,Multiple Choice Question,"1, 2, 3, 4",class,id,dot,all of the above,-,B,,LEVEL 1
Aptitude - Height and Distance,"If 1 + sec q + tan q = p, then cos q is ______.",Multiple Choice Question,"1, 2, 3, 4",(p-1)/p^2 -2p+2,(2(p-1))/p^2-2p+2,(p-1)/p^2+2p+2,2(p-1)/p^2-2p+1,,B,-,LEVEL 2
Node,Which of the following routing methods are available in NodeJS?,Multiple Choice Question,"1, 2, 3, 4",header,get,post,delete,,C,-,LEVEL 1
Javascript,. What is the purpose of the JavaScript Engine?,Multiple Choice Question,"1, 2, 3, 4",Compiling the JavaScript,Interpreting the JavaScript,Both Compiling & Interpreting the JavaScript,None of the mentioned,,B,,LEVEL 2
Practice MCQ,Find the probability of getting 53 Sundays in a leap year.,Multiple Choice Question,"1, 2, 3, 4",03-Jul,02-May,02-Jul,03-May,,C,-,LEVEL 2
HTML Tables,What attribute is used to specify number of rows?,Multiple Choice Question,"1, 2, 3, 4",rownum,rownumb,rn,rowspan,,D,-,LEVEL 1
"13th may, 2020",Can we define media queries against filters like aspect ratios and orientation,Multiple Choice Question,"1, 2, 3, 4",Yes,No,,,,A,-,LEVEL 1
Aptitude - Ratios,A fraction bears the same ratio to 9/2 as 5/4does to 7/5. Find the fraction?,Multiple Choice Question,"1, 2, 3, 4",54/225,56/225,60/227,65/225,,B,-,LEVEL 2
Total js,Which of the following is a way to add a new value to the end of an array?,Multiple Choice Question,"1, 2, 3, 4",arr[value] = length;,arr.length = value;,arr[arr.length] = value;,arr[arr.length()] = value;,,C,-,LEVEL 1
Python - Sets,"What will be the output of the following Python code?
<code>
a = [5,5,6,7,7,7,9]
b = set(a)
def test(lst):
    if lst in b:
        return 1
    else:
        return 0
for i in  filter(test, a):
    print(i,end="""" """")
</code>",Multiple Choice Question,"1, 2, 3, 4",5 5 6 9,5 6 7 9,5 5 6 7 7 7 9,5 6 7 7 7 9,,C,-,LEVEL 1
Sanskrit-lecture-9-quiz-1,पुरुषः भोजनार्थं भोजनशालां गच्छति । पुरुषः ____भोजनशालां गच्छति?  puruṣaḥ bhojanārthaṃ bhojanaśālāṃ gacchati । puruṣaḥ ____bhojanaśālāṃ gacchati?,Multiple Choice Question,"1, 2, 3, 4",किमर्थं  kimarthaṃ,कुत्र  kutra,कति  kati,,,A,-,LEVEL 1
Sanskrit Lecture Quiz 17,सेवन्तिकायाः वर्णः _________ । स्वादुफलस्य वर्णः __________ । काकस्य वर्णः ____________ । दन्तस्य वर्णः ____________ ।,Multiple Choice Question,"1, 2, 3, 4","पीतः , कृष्णः , श्वेतः , रक्तः","पीतः , रक्तः , श्वेतः ,हरितः","पीतः , रक्तः , कृष्णः , श्वेतः","काषायः , रक्तः , कृष्णः , श्वेतः",,C,-,LEVEL 1
